Date,KRW,NEER
8/31/2001,1171.31,101.9999
9/3/2001,1159.4,101.2439
9/4/2001,1144.57,101.2545
9/5/2001,1135.38,100.892
9/6/2001,1135.5,100.4787
9/7/2001,1150.33,100.0126
9/10/2001,1162.54,99.6508
9/11/2001,1161.73,100.4855
9/12/2001,1162.82,99.0979
9/13/2001,1168.97,99.5295
9/14/2001,1197.09,99.6637
9/17/2001,1203.86,99.8895
9/18/2001,1200.73,100.2454
9/19/2001,1200.3,100.3017
9/20/2001,1202.47,100.6112
9/21/2001,1205.2,100.3239
9/24/2001,1191.32,99.783
9/25/2001,1195.63,100.0167
9/26/2001,1198.47,100.1807
9/27/2001,1198.49,99.6898
9/28/2001,1190.68,100.1267
10/1/2001,1189.9,99.7685
10/2/2001,1214.79,99.7506
10/3/2001,1214.21,99.6157
10/4/2001,1191.59,99.1065
10/5/2001,1199.04,98.9894
10/8/2001,1202.43,99.7335
10/9/2001,1196.93,100.2004
10/10/2001,1195.9,100.5097
10/11/2001,1180.78,101.1783
10/12/2001,1169.78,100.8664
10/15/2001,1176.24,101.0154
10/16/2001,1174.5,100.984
10/17/2001,1170.6,100.8829
10/18/2001,1172.93,100.7862
10/19/2001,1170.72,100.4759
10/22/2001,1165.97,100.4408
10/23/2001,1156.64,100.2076
10/24/2001,1155.64,99.9654
10/25/2001,1149.35,100.0036
10/26/2001,1153.08,99.8537
10/29/2001,1164.35,100.1829
10/30/2001,1171.98,100.245
10/31/2001,1170.94,100.1773
11/1/2001,1174.42,100.1787
11/2/2001,1169.13,100.3978
11/5/2001,1179.27,100.3156
11/6/2001,1160.45,99.8849
11/7/2001,1164.61,100.2442
11/8/2001,1148.42,99.8846
11/9/2001,1141.25,99.9785
11/12/2001,1145.2,100.0978
11/13/2001,1137.97,99.8473
11/14/2001,1130.31,100.1383
11/15/2001,1127.84,100.1154
11/16/2001,1134.81,100.0429
11/19/2001,1128.14,99.5068
11/20/2001,1127.71,99.2528
11/21/2001,1120.85,99.7473
11/22/2001,1121.39,99.2857
11/23/2001,1119.6,99.4249
11/26/2001,1115.48,99.3684
11/27/2001,1107.29,98.6653
11/28/2001,1118.89,99.0191
11/29/2001,1123.32,98.8461
11/30/2001,1128.27,98.9238
12/3/2001,1135.97,98.9872
12/4/2001,1129.66,99.0088
12/5/2001,1135.39,99.331
12/6/2001,1128.37,99.2184
12/7/2001,1129.47,99.2529
12/10/2001,1130.15,99.6585
12/11/2001,1133.99,99.5996
12/12/2001,1136.02,98.9186
12/13/2001,1139.29,98.7226
12/14/2001,1154.86,99.1277
12/17/2001,1158.27,99.2882
12/18/2001,1158.94,98.8219
12/19/2001,1160.6,98.9162
12/20/2001,1166.49,99.0705
12/21/2001,1170.55,98.9655
12/24/2001,1147.26,99.2484
12/27/2001,1169.05,99.3949
12/28/2001,1161.55,99.4715
1/2/2002,1185.79,99.8174
1/3/2002,1181.64,99.8974
1/4/2002,1167.33,100.0574
1/7/2002,1162.1,100.32
1/8/2002,1162.18,100.1551
1/9/2002,1165.89,100.4238
1/10/2002,1171.09,100.3972
1/11/2002,1168.84,100.4929
1/14/2002,1166.76,100.5999
1/15/2002,1170.48,100.895
1/16/2002,1155.73,100.9311
1/17/2002,1161.99,101.0032
1/18/2002,1162.92,101.3834
1/21/2002,1166.88,101.1109
1/22/2002,1175.27,101.4528
1/23/2002,1178.91,101.2861
1/24/2002,1162.07,101.0604
1/25/2002,1145.77,101.5558
1/28/2002,1133.15,101.7904
1/29/2002,1128.54,101.9859
1/30/2002,1132.97,102.3653
1/31/2002,1130.93,102.7311
2/1/2002,1133.04,102.8788
2/4/2002,1134.09,103.2673
2/5/2002,1139.04,103.6485
2/6/2002,1141.05,103.9642
2/7/2002,1142.09,104.7515
2/8/2002,1153.85,104.1247
2/11/2002,1160.81,104.1572
2/12/2002,1155.57,104.4185
2/13/2002,1152.67,104.744
2/14/2002,1144.17,103.9761
2/15/2002,1145.75,104.8696
2/18/2002,1147.42,104.8956
2/19/2002,1147.34,104.9449
2/20/2002,1149.7,104.4373
2/21/2002,1147.49,104.2107
2/22/2002,1156.35,104.8931
2/25/2002,1149.82,103.5706
